tickers,num,qubit_num,similarity
"['AMD', 'PAYX', 'ZM']",3,12,0.9999991330234416
"['ABNB', 'PAYX', 'AAPL', 'NVDA', 'BKNG']",5,12,0.9999973235234828
"['ASML', 'ADSK', 'SIRI']",3,12,0.999969999752839
"['AZN', 'IDXX', 'CSX', 'ODFL']",4,12,0.9999995742361888
"['CTSH', 'EA', 'REGN', 'AAPL', 'DLTR', 'VRTX']",6,12,0.9999999771136542
"['REGN', 'EXC', 'ADSK']",3,12,0.9999999984480888
"['MCHP', 'HON']",2,12,0.0620410074483632
"['SNPS', 'FTNT', 'NFLX', 'DLTR']",4,12,0.999999871016059
"['ZM', 'LULU']",2,11,0.5948832418452888
"['CSGP', 'NVDA', 'ZM']",3,12,0.9999995131096072
"['AMGN', 'AAPL', 'SIRI']",3,12,0.9999999004976028
"['CRWD', 'BKR', 'FAST', 'MNST', 'META']",5,12,0.999999893311755
"['FAST', 'BKR', 'FANG']",3,12,0.9999999558797026
"['ORLY', 'GOOGL', 'CTSH', 'GILD', 'TSLA', 'WBA']",6,12,0.999999572577502
"['KHC', 'ENPH', 'DXCM', 'MDLZ', 'SGEN', 'NVDA']",6,12,0.9860449324747812
"['NVDA', 'NFLX', 'PAYX']",3,12,0.9999968621389018
"['TSLA', 'MCHP', 'REGN', 'HON']",4,12,0.9999999391919592
"['SNPS', 'MU', 'AMD', 'PDD']",4,12,0.9999997067512014
"['CTSH', 'CSCO', 'MRVL']",3,12,0.1639994113837409
"['MCHP', 'ADP']",2,12,0.0865044808096942
"['DLTR', 'VRTX', 'IDXX', 'REGN', 'JD', 'SGEN']",6,12,0.9999998307147524
"['CRWD', 'TMUS', 'FAST', 'SIRI', 'FTNT', 'AZN']",6,12,0.9999996220623288
"['VRSK', 'INTC']",2,11,0.9999826051692624
"['ALGN', 'ADP', 'RIVN', 'AEP', 'MNST']",5,12,0.9815715002981372
"['WDAY', 'FTNT']",2,12,0.0328450334817287
"['GILD', 'RIVN', 'ZM', 'DXCM', 'DDOG']",5,12,0.999999871084313
"['GOOG', 'MDLZ', 'MAR', 'ANSS', 'CRWD']",5,12,0.9999999550417789
"['AEP', 'ADI', 'AVGO', 'JD', 'DLTR', 'ASML']",6,12,0.9999066376829828
"['INTU', 'CSX']",2,11,0.0751320590295675
"['AMZN', 'ALGN', 'XEL', 'GILD']",4,12,0.9999992206113606
"['CPRT', 'MELI', 'CTSH']",3,12,0.1470345089461992
"['AEP', 'PEP', 'ORLY', 'INTC', 'GOOGL']",5,12,0.98507222405067
"['QCOM', 'EXC']",2,11,0.7981283159611833
