tickers,num,qubit_num,similarity
"['MNST', 'FTNT']",2,11,0.08379484930085995
"['QCOM', 'EXC']",2,11,0.7981283159611833
"['INTU', 'CSX']",2,11,0.07513205902956759
"['MCHP', 'ADP']",2,12,0.08650448080969421
"['WDAY', 'FTNT']",2,12,0.03284503348172879
"['MCHP', 'HON']",2,12,0.06204100744836328
"['ZM', 'LULU']",2,11,0.5948832418452888
"['PANW', 'EXC']",2,12,0.037101184068524716
"['WBA', 'MRVL']",2,12,0.08384976270091944
"['VRSK', 'INTC']",2,11,0.9999826051692623
"['AMD', 'PAYX']",2,11,0.999999919507711
"['CPRT', 'MELI']",2,12,0.00042847404634374566
"['ANSS', 'ADI']",2,11,0.9999944019670808
"['CTSH', 'CSCO']",2,12,0.06980696253721286
"['NVDA', 'NFLX']",2,12,0.005583394589076043
"['CSGP', 'NVDA']",2,11,0.29662920613513605
"['AMGN', 'AAPL']",2,11,0.9999999516403547
"['CPRT', 'SIRI']",2,12,0.08159020771253628
"['FAST', 'BKR']",2,11,0.9999258653883161
"['ASML', 'ADSK']",2,12,0.01140795469564821
"['TSLA', 'MCHP']",2,11,0.9985851960974783
"['KHC', 'DXCM']",2,12,0.03854461296931277
"['CPRT', 'MCHP']",2,12,0.0011571351572673984
"['LRCX', 'LCID']",2,12,0.9987906046821952
"['SNPS', 'FTNT']",2,12,0.019288899867911307
"['AMZN', 'ALGN']",2,12,0.07498521071616177
"['TXN', 'ODFL']",2,12,0.0032355777617471032
"['AZN', 'IDXX']",2,10,0.9999999985919409
"['AMD', 'ORLY']",2,10,0.9999835513416454
"['SNPS', 'MU']",2,11,0.9914618994277988
"['SIRI', 'PYPL']",2,11,0.9999983233317641
"['QCOM', 'EXC']",2,11,0.7981283159611833
"['INTU', 'CSX']",2,11,0.07513205902956759
"['MCHP', 'ADP']",2,12,0.08650448080969421
"['WDAY', 'FTNT']",2,12,0.03284503348172879
"['MCHP', 'HON']",2,12,0.06204100744836328
"['ZM', 'LULU']",2,11,0.5948832418452888
"['PANW', 'EXC']",2,12,0.037101184068524716
"['WBA', 'MRVL']",2,12,0.08384976270091944
"['VRSK', 'INTC']",2,11,0.9999826051692623
"['CSCO', 'SNPS']",2,12,0.03221651995457591
"['BKNG', 'CTAS']",2,12,0.060217715953399135
"['MU', 'GOOG']",2,12,0.016750249481609695
"['LCID', 'SIRI']",2,12,0.9999999223563995
"['VRSK', 'AZN']",2,11,0.9999989213843167
"['NVDA', 'REGN']",2,10,0.10749333038402155
"['WBA', 'CMCSA']",2,12,0.004423415766797264
"['ADBE', 'AVGO']",2,11,0.28365193035846686
"['ZM', 'PYPL']",2,12,0.0005971539508782909
"['NXPI', 'MNST']",2,11,0.9908432938087433
"['BKNG', 'AVGO']",2,12,0.010140770422872196
"['REGN', 'MRNA']",2,12,0.031657834175350875
"['ILMN', 'PANW']",2,11,0.08261347275741598
"['VRSK', 'HON']",2,12,0.9999989865653689
"['WBA', 'EXC']",2,11,0.9999985616987346
"['CTSH', 'AMD']",2,12,0.05397965244891529
"['MU', 'REGN']",2,10,0.9999640548792037
"['NXPI', 'PEP']",2,11,0.10467368348719441
"['EBAY', 'CDNS']",2,11,0.1929687236288898
"['FAST', 'CHTR']",2,12,0.15053267991139155
