tickers,num,qubit_num,similarity
"['AMGN', 'FAST', 'KLAC', 'NFLX', 'PCAR', 'ADBE', 'AEP']",7,12,0.9999678115250017
"['ROST', 'CSCO', 'CTAS', 'CTSH', 'SIRI', 'WBD', 'KLAC']",7,12,0.9358163685854599
"['MU', 'VRTX', 'BKR', 'ODFL', 'REGN', 'INTC', 'EBAY']",7,12,0.9999984855813567
"['FAST', 'BKR', 'ADI', 'WBD', 'KLAC', 'DDOG', 'PCAR']",7,12,0.9989982736448577
"['AVGO', 'ROST', 'MRNA', 'EA', 'VRTX', 'TEAM', 'PEP']",7,12,0.9999931432083573
"['ATVI', 'CPRT', 'CDNS', 'INTC', 'SIRI', 'ADBE', 'LRCX']",7,12,0.9999991196019802
"['ROST', 'COST', 'MAR', 'REGN', 'ORLY', 'CHTR', 'TEAM']",7,12,0.9999987713835043
"['ADBE', 'MELI', 'BKR', 'INTU', 'ORLY', 'ZS', 'TSLA']",7,12,0.999999749356176
"['XEL', 'KDP', 'CTSH', 'LCID', 'SBUX', 'EXC', 'ISRG']",7,12,0.9620761349267913
"['TEAM', 'AZN', 'KHC', 'GOOG', 'SIRI', 'INTU', 'META']",7,12,0.9999954691040754
"['NVDA', 'ROST', 'DXCM', 'WBD', 'DLTR', 'KLAC', 'CSX']",7,12,0.9999970138463194
"['MELI', 'ROST', 'AEP', 'ADBE', 'GILD', 'HON', 'CRWD']",7,12,0.99562228335011
"['VRTX', 'REGN', 'VRSK', 'WBD', 'AMGN', 'CTSH', 'CTAS']",7,12,0.8410796825281063
"['ZM', 'GILD', 'FANG', 'RIVN', 'AZN', 'XEL', 'BKNG']",7,12,0.9999972652367013
"['SIRI', 'GILD', 'DLTR', 'PYPL', 'MAR', 'ROST', 'ASML']",7,12,0.9999915032772456
"['BKNG', 'SIRI', 'AVGO', 'INTC', 'ROST', 'PYPL', 'ADSK']",7,12,0.9999867198929225
"['MSFT', 'CDNS', 'SBUX', 'TSLA', 'LULU', 'CHTR', 'TXN']",7,12,0.9272967386823793
"['KHC', 'CSX', 'SBUX', 'ZS', 'TXN', 'DDOG', 'LRCX']",7,12,0.9627967911366958
"['ILMN', 'MU', 'EA', 'META', 'SBUX', 'KHC', 'PYPL']",7,12,0.9999998975262233
"['SBUX', 'AAPL', 'ASML', 'AMD', 'ISRG', 'CMCSA', 'WBD']",7,12,0.9999998365490875
"['SGEN', 'WBA', 'KLAC', 'PAYX', 'EXC', 'GOOGL', 'RIVN']",7,12,0.9967258855015607
"['LULU', 'PANW', 'FANG', 'MAR', 'ORLY', 'CPRT', 'ILMN']",7,12,0.9999925438900934
"['ADI', 'AEP', 'BKR', 'ANSS', 'SIRI', 'TEAM', 'XEL']",7,12,0.9018981226406809
"['ENPH', 'IDXX', 'MAR', 'CMCSA', 'KLAC', 'TXN', 'RIVN']",7,12,0.985347661480171
"['TMUS', 'CTAS', 'KHC', 'AMD', 'MELI', 'BKR', 'ADSK']",7,12,0.9461959020619951
"['EXC', 'ADBE', 'GILD', 'GOOG', 'ATVI', 'CMCSA', 'DDOG']",7,12,0.999999799840764
"['HON', 'MU', 'SIRI', 'INTC', 'GILD', 'SGEN', 'DXCM']",7,12,0.9999783549259564
"['KDP', 'CTAS', 'ISRG', 'VRSK', 'FANG', 'GOOG', 'INTC']",7,12,0.8357830923742322
"['WDAY', 'ADBE', 'REGN', 'GOOG', 'AMGN', 'CMCSA', 'ODFL']",7,12,0.9999994769628212
"['ANSS', 'ENPH', 'XEL', 'WBD', 'FANG', 'PEP', 'VRSK']",7,12,0.9254060274952147
