tickers,num,qubit_num,similarity
"['LRCX', 'DXCM', 'BKNG', 'ADBE', 'TSLA']",5,12,0.9999993992145152
"['HON', 'SNPS', 'ABNB', 'SIRI', 'ORLY', 'AMZN']",6,13,0.9999999218488416
"['GOOGL', 'RIVN', 'NFLX']",3,12,0.2105086339027513
"['CDNS', 'PCAR', 'ABNB']",3,12,0.9999999868046194
"['ADSK', 'AMD', 'CSCO', 'REGN']",4,12,0.9999998292558604
"['SGEN', 'TSLA', 'PANW', 'MDLZ', 'AMGN']",5,12,0.9998567901008109
"['BIIB', 'CMCSA', 'CHTR']",3,12,0.9999845981678572
"['COST', 'PDD', 'WDAY', 'MCHP', 'PCAR']",5,12,0.9999998952547746
"['CSCO', 'ADP', 'ILMN']",3,12,0.9999996079484638
"['KHC', 'AMD', 'CDNS']",3,12,0.9999998934818036
"['CSCO', 'DXCM', 'AVGO', 'INTU']",4,12,0.9998781642054696
"['ALGN', 'ABNB', 'TSLA', 'BKNG', 'AEP', 'NFLX']",6,13,0.9999998773970856
"['ISRG', 'LULU', 'ANSS', 'BKR', 'AMD']",5,12,0.9999992891667684
"['DDOG', 'COST', 'ZS', 'IDXX', 'MCHP', 'ASML']",6,13,0.9999992359201662
"['META', 'JD', 'FTNT', 'SNPS', 'CPRT', 'HON']",6,13,0.999999988351028
"['ENPH', 'ABNB', 'KLAC', 'TMUS', 'TSLA', 'EXC']",6,12,0.9999998556267878
"['DXCM', 'FANG', 'GOOGL']",3,12,0.9999996256759596
"['SBUX', 'EXC', 'PCAR']",3,13,0.9999998327924328
"['ANSS', 'GOOGL', 'TSLA', 'SBUX', 'MAR']",5,13,0.9999999488229409
"['FANG', 'PDD', 'AAPL']",3,11,0.999999660982375
"['ODFL', 'BKNG', 'CSCO', 'ATVI']",4,13,0.999999983499162
"['BIIB', 'AAPL', 'AMZN', 'LCID', 'PCAR', 'ILMN']",6,12,0.9999933731090456
"['MU', 'VRTX', 'BKR', 'ODFL', 'REGN']",5,12,0.9999998118771336
"['AMGN', 'FAST', 'KLAC']",3,12,0.999999366501372
"['DDOG', 'ASML', 'CTSH', 'AVGO']",4,12,0.9999997033330108
"['CMCSA', 'NVDA', 'MCHP', 'ADSK']",4,12,0.9999945779446792
"['RIVN', 'EA', 'MDLZ', 'HON', 'CMCSA', 'LULU']",6,13,0.9815045094062296
"['CTAS', 'INTC', 'META', 'TMUS']",4,12,0.9767819438724342
"['CRWD', 'ZM', 'CSCO', 'PANW', 'FTNT']",5,12,0.9999999803026804
"['ROST', 'CSCO', 'CTAS']",3,12,0.9999992352078296
"['LCID', 'TMUS', 'FTNT']",3,12,0.9999997945973113
"['MAR', 'WBA', 'BKR', 'CRWD']",4,12,0.999999982128472
"['MELI', 'RIVN', 'AMZN', 'CRWD', 'EA']",5,12,0.9999999514273836
"['ILMN', 'INTC', 'AMZN', 'PCAR', 'FANG', 'JD']",6,13,0.9999999490334966
"['META', 'CPRT', 'DDOG', 'CTAS', 'TMUS']",5,12,0.9998207273283736
"['INTC', 'SBUX', 'VRTX', 'PAYX', 'DDOG', 'ADSK']",6,12,0.9999998916530228
"['DLTR', 'AZN', 'ABNB']",3,12,0.9999996867155938
"['AVGO', 'NFLX', 'KHC', 'GILD']",4,12,0.9999998870252238
"['NVDA', 'BKNG', 'ODFL', 'ROST']",4,13,0.9999999790349056
"['TXN', 'DLTR', 'SNPS']",3,13,0.0194120507991497
"['ILMN', 'ZM', 'PCAR', 'CDNS', 'AMZN']",5,12,0.9999997329530632
"['PCAR', 'MU', 'ANSS', 'PEP', 'CSCO', 'ADI']",6,12,0.9995726965900432
"['PYPL', 'ALGN', 'FAST']",3,12,0.9999942330130108
"['BKR', 'EXC', 'VRTX', 'CTSH', 'AMD']",5,12,0.999999968358282
"['FANG', 'ASML', 'MU', 'CPRT']",4,12,0.9999998923181548
"['TSLA', 'MRVL', 'CRWD', 'AMAT', 'SIRI', 'MNST']",6,13,0.9999999538912916
"['ORLY', 'ADSK', 'ZM', 'ABNB', 'WBD', 'CHTR']",6,12,0.9999988928496923
