num_tickers,tickers,optimized_depth,optimized_gate_count,optimized_num_qubit,original_depth,original_gate_count,original_num_qubit
2,"['CPRT', 'KLAC']",2162611,1130793,17,138411979,72352437,23
2,"['REGN', 'CTSH']",135075,70769,13,17301439,9044445,20
2,"['DXCM', 'FANG']",1081263,565493,16,34602947,18088481,21
2,"['BIIB', 'CMCSA']",270247,141465,14,34602947,18088481,21
2,"['PANW', 'PAYX']",8650683,4522397,19,553648083,289407833,25
2,"['SGEN', 'EXC']",540587,282821,15,69205959,36176489,22
2,"['SBUX', 'GOOGL']",270247,141465,14,34602947,18088481,21
2,"['LCID', 'CSCO']",270247,141465,14,8650683,4522397,19
2,"['PANW', 'CDNS']",4325303,2261345,18,276824015,144704261,24
2,"['ORLY', 'TEAM']",540587,282821,15,17301439,9044445,20
2,"['ADP', 'GOOGL']",135075,70769,13,34602947,18088481,21
2,"['FTNT', 'BKR']",540587,282821,15,34602947,18088481,21
2,"['SIRI', 'AEP']",540587,282821,15,138411979,72352437,23
2,"['ANSS', 'RIVN']",540587,282821,15,17301439,9044445,20
2,"['EBAY', 'KLAC']",540587,282821,15,34602947,18088481,21
2,"['ADP', 'TEAM']",540587,282821,15,17301439,9044445,20
2,"['META', 'INTC']",4325303,2261345,18,69205959,36176489,22
2,"['KHC', 'AMD']",270247,141465,14,17301439,9044445,20
2,"['JD', 'GOOGL']",1081263,565493,16,34602947,18088481,21
2,"['MELI', 'MCHP']",69205959,36176489,22,1107296215,578814897,26
2,"['BKR', 'MRNA']",2162611,1130793,17,69205959,36176489,22
2,"['LULU', 'MNST']",2162611,1130793,17,138411979,72352437,23
2,"['CSCO', 'ADSK']",4325303,2261345,18,276824015,144704261,24
2,"['AEP', 'ALGN']",135075,70769,13,17301439,9044445,20
2,"['FAST', 'NVDA']",1081263,565493,16,69205959,36176489,22
2,"['IDXX', 'GILD']",135075,70769,13,17301439,9044445,20
2,"['GOOGL', 'DXCM']",540587,282821,15,34602947,18088481,21
2,"['ISRG', 'NXPI']",17301439,9044445,20,553648083,289407833,25
2,"['HON', 'AVGO']",540587,282821,15,69205959,36176489,22
2,"['CSCO', 'DXCM']",1081263,565493,16,69205959,36176489,22
2,"['CTAS', 'INTC']",135075,70769,13,17301439,9044445,20
2,"['ADBE', 'IDXX']",8650683,4522397,19,276824015,144704261,24
2,"['TEAM', 'LCID']",4325303,2261345,18,17301439,9044445,20
2,"['PANW', 'SGEN']",69205959,36176489,22,2214592475,1157628941,27
2,"['ADI', 'PEP']",2162611,1130793,17,276824015,144704261,24
2,"['CTAS', 'MNST']",34602947,18088481,21,2214592475,1157628941,27
2,"['KHC', 'ORLY']",8650683,4522397,19,553648083,289407833,25
2,"['DLTR', 'NVDA']",270247,141465,14,34602947,18088481,21
2,"['ODFL', 'BIIB']",540587,282821,15,34602947,18088481,21
2,"['LCID', 'MRNA']",1081263,565493,16,8650683,4522397,19
2,"['KHC', 'CSCO']",135075,70769,13,34602947,18088481,21
2,"['KLAC', 'NFLX']",1081263,565493,16,34602947,18088481,21
2,"['CMCSA', 'ADBE']",4325303,2261345,18,138411979,72352437,23
2,"['ASML', 'COST']",8650683,4522397,19,276824015,144704261,24
2,"['PANW', 'EXC']",540587,282821,15,69205959,36176489,22
2,"['RIVN', 'ATVI']",270247,141465,14,8650683,4522397,19
2,"['MDLZ', 'GOOG']",135075,70769,13,34602947,18088481,21
2,"['MNST', 'LCID']",270247,141465,14,8650683,4522397,19
2,"['CSX', 'INTC']",270247,141465,14,34602947,18088481,21
2,"['META', 'KHC']",135075,70769,13,17301439,9044445,20
2,"['ATVI', 'VRSK']",270247,141465,14,34602947,18088481,21
2,"['WBD', 'AMZN']",8650683,4522397,19,138411979,72352437,23
2,"['BIIB', 'ISRG']",540587,282821,15,34602947,18088481,21
2,"['SGEN', 'MELI']",138411979,72352437,23,2214592475,1157628941,27
2,"['REGN', 'KHC']",8858370019,4630512849,29,566935683067,296352745341,35
2,"['EXC', 'MELI']",2162611,1130793,17,69205959,36176489,22
2,"['CSCO', 'MELI']",69205959,36176489,22,2214592475,1157628941,27
2,"['PDD', 'NXPI']",1081263,565493,16,17301439,9044445,20
2,"['FAST', 'PDD']",1081263,565493,16,17301439,9044445,20
2,"['PDD', 'EA']",1081263,565493,16,17301439,9044445,20
2,"['MNST', 'AVGO']",1081263,565493,16,69205959,36176489,22
2,"['MDLZ', 'LRCX']",270247,141465,14,34602947,18088481,21
2,"['TXN', 'MRVL']",270247,141465,14,17301439,9044445,20
2,"['PCAR', 'TXN']",270247,141465,14,69205959,36176489,22
2,"['ENPH', 'ABNB']",540587,282821,15,8650683,4522397,19
2,"['ADP', 'FTNT']",1081263,565493,16,69205959,36176489,22
2,"['ALGN', 'ABNB']",2162611,1130793,17,34602947,18088481,21
2,"['PDD', 'PANW']",1081263,565493,16,17301439,9044445,20
2,"['RIVN', 'GOOGL']",1081263,565493,16,17301439,9044445,20
2,"['ADBE', 'PCAR']",135075,70769,13,17301439,9044445,20
2,"['PANW', 'ADSK']",2162611,1130793,17,138411979,72352437,23
2,"['BIIB', 'AAPL']",270247,141465,14,34602947,18088481,21
2,"['AMGN', 'LCID']",135075,70769,13,8650683,4522397,19
2,"['CSX', 'ILMN']",540587,282821,15,34602947,18088481,21
2,"['INTC', 'META']",4325303,2261345,18,69205959,36176489,22
2,"['PDD', 'ANSS']",1081263,565493,16,8650683,4522397,19
2,"['SBUX', 'EA']",69205959,36176489,22,4429184991,2315256941,28
2,"['COST', 'WDAY']",2162611,1130793,17,138411979,72352437,23
2,"['HON', 'CPRT']",270247,141465,14,69205959,36176489,22
2,"['CMCSA', 'ODFL']",1081263,565493,16,69205959,36176489,22
2,"['KLAC', 'MAR']",553648083,289407833,25,17716740071,9261024569,30
2,"['LCID', 'JD']",1081263,565493,16,8650683,4522397,19
2,"['REGN', 'ALGN']",135075,70769,13,8650683,4522397,19
2,"['JD', 'VRSK']",2162611,1130793,17,69205959,36176489,22
2,"['MRNA', 'REGN']",4325303,2261345,18,138411979,72352437,23
2,"['AEP', 'AMAT']",270247,141465,14,34602947,18088481,21
2,"['NXPI', 'DXCM']",1081263,565493,16,69205959,36176489,22
2,"['ISRG', 'ALGN']",270247,141465,14,17301439,9044445,20
2,"['SGEN', 'ISRG']",8650683,4522397,19,276824015,144704261,24
2,"['CTAS', 'INTC']",135075,70769,13,17301439,9044445,20
2,"['AZN', 'CTAS']",1081263,565493,16,138411979,72352437,23
2,"['CDNS', 'ADI']",4325303,2261345,18,276824015,144704261,24
2,"['PDD', 'XEL']",1081263,565493,16,17301439,9044445,20
2,"['ALGN', 'NXPI']",540587,282821,15,17301439,9044445,20
2,"['CHTR', 'CRWD']",8650683,4522397,19,276824015,144704261,24
2,"['FAST', 'KHC']",135075,70769,13,34602947,18088481,21
2,"['MRVL', 'CSX']",540587,282821,15,34602947,18088481,21
2,"['XEL', 'ADSK']",270247,141465,14,34602947,18088481,21
2,"['PCAR', 'DDOG']",540587,282821,15,17301439,9044445,20
2,"['MU', 'ORLY']",135075,70769,13,17301439,9044445,20
2,"['SBUX', 'DXCM']",8650683,4522397,19,276824015,144704261,24
2,"['META', 'NVDA']",4325303,2261345,18,69205959,36176489,22
2,"['NFLX', 'AMD']",8650683,4522397,19,138411979,72352437,23
2,"['ADSK', 'ASML']",8650683,4522397,19,276824015,144704261,24
2,"['ZM', 'AMGN']",135075,70769,13,17301439,9044445,20
2,"['PEP', 'CHTR']",135075,70769,13,17301439,9044445,20
2,"['SGEN', 'PYPL']",540587,282821,15,17301439,9044445,20
2,"['AEP', 'TXN']",540587,282821,15,69205959,36176489,22
2,"['KLAC', 'FAST']",1081263,565493,16,69205959,36176489,22
2,"['KHC', 'META']",135075,70769,13,17301439,9044445,20
2,"['ORLY', 'ENPH']",1081263,565493,16,34602947,18088481,21
2,"['SGEN', 'MAR']",4325303,2261345,18,276824015,144704261,24
2,"['GOOGL', 'PEP']",135075,70769,13,34602947,18088481,21
2,"['AMD', 'FTNT']",1081263,565493,16,34602947,18088481,21
2,"['DLTR', 'ROST']",17301439,9044445,20,553648083,289407833,25
2,"['ATVI', 'ORLY']",8650683,4522397,19,553648083,289407833,25
2,"['MDLZ', 'PANW']",1081263,565493,16,69205959,36176489,22
2,"['ADBE', 'ZS']",2162611,1130793,17,69205959,36176489,22
2,"['AMZN', 'SGEN']",540587,282821,15,34602947,18088481,21
2,"['ZS', 'KDP']",540587,282821,15,17301439,9044445,20
2,"['ATVI', 'MNST']",4325303,2261345,18,276824015,144704261,24
2,"['SNPS', 'CTSH']",270247,141465,14,34602947,18088481,21
2,"['ZM', 'WBA']",540587,282821,15,34602947,18088481,21
2,"['PANW', 'NVDA']",1081263,565493,16,34602947,18088481,21
2,"['ILMN', 'MELI']",4325303,2261345,18,69205959,36176489,22
2,"['NXPI', 'ZM']",540587,282821,15,34602947,18088481,21
2,"['JD', 'ADBE']",1081263,565493,16,34602947,18088481,21
2,"['QCOM', 'PEP']",270247,141465,14,34602947,18088481,21
2,"['FAST', 'TEAM']",1081263,565493,16,34602947,18088481,21
2,"['NXPI', 'REGN']",270247,141465,14,34602947,18088481,21
2,"['CRWD', 'ZM']",2162611,1130793,17,34602947,18088481,21
2,"['BKNG', 'GILD']",270247,141465,14,34602947,18088481,21
2,"['LCID', 'LRCX']",1081263,565493,16,17301439,9044445,20
2,"['AZN', 'BKNG']",270247,141465,14,34602947,18088481,21
2,"['ABNB', 'WDAY']",4325303,2261345,18,138411979,72352437,23
2,"['COST', 'AEP']",270247,141465,14,34602947,18088481,21
2,"['ROST', 'MELI']",2162611,1130793,17,69205959,36176489,22
2,"['ODFL', 'GILD']",270247,141465,14,34602947,18088481,21
2,"['MELI', 'FTNT']",4429184991,2315256941,28,70866960367,37044094485,32
2,"['EA', 'ZS']",540587,282821,15,17301439,9044445,20
2,"['NVDA', 'DLTR']",270247,141465,14,34602947,18088481,21
2,"['EBAY', 'ZM']",1081263,565493,16,34602947,18088481,21
2,"['CHTR', 'CRWD']",8650683,4522397,19,276824015,144704261,24
2,"['QCOM', 'CMCSA']",4325303,2261345,18,276824015,144704261,24
2,"['GOOGL', 'QCOM']",69205959,36176489,22,1107296215,578814897,26
2,"['ABNB', 'AMZN']",34602947,18088481,21,553648083,289407833,25
2,"['CDNS', 'TSLA']",270247,141465,14,17301439,9044445,20
2,"['FANG', 'DDOG']",540587,282821,15,17301439,9044445,20
2,"['FAST', 'VRTX']",135075,70769,13,34602947,18088481,21
2,"['MELI', 'JD']",4325303,2261345,18,138411979,72352437,23
2,"['DLTR', 'ASML']",540587,282821,15,69205959,36176489,22
2,"['PEP', 'DLTR']",4429184991,2315256941,28,141733920755,74088187529,33
2,"['TEAM', 'CDNS']",540587,282821,15,17301439,9044445,20
2,"['TSLA', 'COST']",270247,141465,14,17301439,9044445,20
2,"['EXC', 'ANSS']",135075,70769,13,34602947,18088481,21
2,"['AZN', 'AMZN']",135075,70769,13,17301439,9044445,20
2,"['GILD', 'ATVI']",4325303,2261345,18,276824015,144704261,24
2,"['AMD', 'AMZN']",34602947,18088481,21,553648083,289407833,25
2,"['VRTX', 'MCHP']",270247,141465,14,34602947,18088481,21
2,"['ADI', 'MU']",135075,70769,13,17301439,9044445,20
2,"['MELI', 'BKR']",2162611,1130793,17,34602947,18088481,21
2,"['CMCSA', 'REGN']",135075,70769,13,34602947,18088481,21
2,"['PAYX', 'INTU']",540587,282821,15,69205959,36176489,22
2,"['CSGP', 'GILD']",1081263,565493,16,138411979,72352437,23
2,"['ZM', 'CTSH']",1081263,565493,16,34602947,18088481,21
2,"['AZN', 'MELI']",2162611,1130793,17,69205959,36176489,22
2,"['TSLA', 'TEAM']",8650683,4522397,19,69205959,36176489,22
2,"['WBD', 'LCID']",4325303,2261345,18,17301439,9044445,20
2,"['ODFL', 'FTNT']",17301439,9044445,20,553648083,289407833,25
