num_assets,A_mean,B_mean,C_mean
2,18.929,13.075,12.809
3,19.945,11.923,11.785
4,20.584,11.735,11.613
5,21.213,11.935,11.882
6,21.581,12.263,12.167
7,21.859,12.6,12.565
8,22.131,12.926,12.863
9,22.382,13.197,13.045
10,22.613,13.461,13.35
11,22.82,13.7,13.648
12,22.973,13.903,13.83
13,23.133,14.093,13.961
14,23.28,14.291,14.102
15,23.339,14.406,14.23
16,23.488,14.61,14.544
17,23.593,14.776,14.763
18,23.743,14.966,14.896
19,23.884,15.101,14.958
20,24.059,15.33,15.014
21,24.109,15.446,15.082
22,24.209,15.57,15.235
23,24.323,15.685,15.446
24,24.515,15.859,15.612
25,24.587,15.893,15.816
26,24.768,16.073,15.926
27,24.783,16.131,15.957
28,24.944,16.285,15.993
29,25.015,16.355,16.037
30,25.163,16.517,16.104
31,25.236,16.616,16.238
