data2,data3,data4,data5,data6
10.69071229,43.32209547,10.53579006,21.87939271,13.21400126
13.08279183,45.87296367,10.47965992,12.4898203,8.77247552
23.83383434,28.30686246,12.16239337,23.63868327,16.22564911
15.38059762,20.59047696,13.15947619,19.31056988,23.66676014
34.74049676,11.46778445,8.7326425,16.17191244,15.0344344
13.84175234,19.12182136,31.91944784,21.27633151,9.3413978
24.42115567,18.65563985,29.84675782,20.19973131,17.79210758
15.34206205,8.17138961,22.76174472,21.34770669,13.22579826
10.72011593,11.78630897,30.72288317,20.7516277,12.52331633
21.79269013,7.44722068,23.80651816,24.22527849,15.52789721
16.52060153,23.51716505,17.60760521,28.78957094,16.38850027
23.75750908,13.15537812,11.33247968,10.46958551,13.85796042
14.5661908,28.99947084,19.4415562,22.24620253,14.28505763
8.27615867,11.79888184,11.85482584,19.1183225,12.15489404
12.17008745,11.68861483,24.89127264,10.43419335,19.24604389
27.51435822,21.2824964,36.11516405,33.04683819,15.15689231
12.44488853,11.84741995,24.69897866,16.79721354,12.66548187
35.026662,35.14610476,16.12422905,15.23995057,8.52465771
27.14593904,14.75545738,15.79023809,12.93981775,15.78951874
43.22550339,50.8934121,17.75403589,17.9997084,14.37052047
27.45703017,47.17471937,14.41032231,7.22097283,15.26195667
35.16944135,20.81347515,11.01942626,20.19695539,9.65055106
31.48761033,7.77178135,35.94216402,8.1746105,11.1633808
20.72615902,10.79761719,35.60059052,25.30329329,18.77005722
8.73981133,7.98895509,21.843955,11.55543009,19.42496392
10.36417895,10.08296681,17.56280111,30.74847582,10.72299682
13.56390104,34.99613159,16.02269756,10.6691156,19.68014159
14.2013903,31.06635628,14.05149746,16.2436189,17.9247642
17.60908573,16.38909343,12.7802792,17.85913777,20.51710149
20.5080446,30.59809449,20.9159762,10.64439878,11.46064274
22.12988866,27.46001328,34.2432312,15.51846572,7.30992955
12.31666112,29.42960244,10.25898177,24.72510197,12.8731607
6.71654965,19.69398954,28.83961953,34.62488135,7.07800249
8.5448956,22.10474785,15.1134726,14.34954113,10.99670278
12.83729436,29.7310795,35.39976312,20.70953523,11.40660204
44.78615406,16.80680906,9.98833245,27.49677534,14.90464067
7.47871892,15.235531,10.89947805,11.42692902,10.05883688
15.26861331,9.52547616,36.17417341,9.26566496,19.26447031
10.00005094,10.23867768,28.71722664,22.84359552,19.33420272
18.27570736,20.93106325,30.63039911,21.23530645,8.04942634
43.43172421,7.31045131,14.43167168,8.14243771,19.99613905
8.3857413,41.65827126,13.2868993,16.92122539,17.3934872
6.29637314,8.21307087,20.71628073,22.46845739,11.0477585
24.77049495,9.89154206,45.55911065,24.40291971,10.3263102
15.62115636,29.13793001,43.42863121,7.90304828,21.44948161
12.63088481,29.05431173,39.67465902,15.63554369,14.7686304
11.31039611,14.94358447,25.86136997,14.90471521,12.8674907
11.43389572,16.72745818,10.83858572,15.65491026,10.23876252
7.92944146,11.001298,21.64701076,9.56026841,11.31700997
6.97800503,21.13608944,16.39478916,17.84352369,11.74151306
10.24175977,13.1260972,24.5528424,12.54137093,23.96825039
12.53349505,35.87859653,21.31331126,15.59860314,22.26173024
7.51106893,24.82041692,24.2725208,18.73295065,17.20505454
12.62142244,9.82229554,19.71099742,25.66299269,7.36662218
16.59097854,24.90473282,14.62775686,18.57023608,15.66907752
10.65790651,48.26108838,33.73505249,8.26351661,6.43794586
21.12332269,22.45631601,27.79454106,15.98605025,11.14143343
6.57226897,15.24744371,10.64513102,20.41786492,11.5465064
8.43245567,26.92675492,18.38035664,14.23566404,12.81980098
11.8902577,12.4291349,30.60924947,14.81442732,28.93154032
9.46789304,22.4232255,21.44744296,13.69423772,16.5744456
8.58588776,12.60176028,23.53574467,8.97634708,10.07199794
8.45082878,22.59121257,19.50927681,24.958238,13.1269735
44.49639043,12.47337376,12.80141574,17.3067038,10.6340459
16.66359911,28.74299356,11.2388413,13.81472349,16.70412983
24.60431334,14.16603452,18.26586728,30.85172382,7.08248302
28.69412989,18.06671031,13.99567208,26.63758306,16.46846392
12.0816063,12.49575643,29.53212078,25.31867401,10.25135259
16.0475212,8.76152995,36.44529056,11.51144092,21.83036552
43.69902978,20.78444586,37.50204862,20.62514737,20.01978365
34.23230003,18.48109256,24.21893936,17.32379165,20.27669678
13.19831842,12.93930322,22.78778247,32.7842175,14.04434697
8.44851153,20.23429786,21.75226645,30.16387142,13.48655538
9.2753143,16.73155957,8.85434,12.46185495,15.15154432
10.97484734,13.78464392,39.39084084,15.6923318,17.8397352
7.00292748,18.38901603,25.46746237,13.13680691,18.40339231
7.18234535,32.35507382,9.81396545,8.99974907,13.23800597
25.03139809,30.60640278,34.97719217,20.21595524,7.501936
35.40609427,14.80262909,11.54229604,19.31171413,8.78967072
15.66622943,23.56312724,23.96649852,15.19747441,12.4680868
13.63962613,51.68353152,46.08489323,9.79558298,9.53091099
41.05045018,21.48192951,19.89361691,11.33956343,15.15423551
17.56987727,27.65116422,28.42017902,23.13522066,15.73477638
43.37268917,22.76710516,22.62854963,7.43767375,9.62885614
