num_qubits,tickers,acc
2,"['MNST', 'FTNT', 'WDAY', 'BKNG', 'ROST', 'SGEN']",0.0006307284100967419
2,"['ROST', 'EXC', 'PYPL', 'VRTX', 'AVGO', 'CDNS']",0.0016134278316755502
2,"['ATVI', 'ODFL', 'ANSS', 'INTC', 'GOOG', 'KLAC']",0.0011072610357352494
2,"['ADP', 'AMGN', 'FTNT', 'META', 'GOOG', 'AMD']",0.001479652354541859
2,"['ZS', 'ISRG', 'AEP', 'SNPS', 'TXN', 'ZM']",0.0012998338199983082
2,"['MSFT', 'ATVI', 'ROST', 'PEP', 'SIRI', 'SGEN']",0.0005763394027095441
2,"['NFLX', 'MRNA', 'ABNB', 'ZM', 'AEP', 'FAST']",0.0009909457605420642
2,"['AVGO', 'EA', 'LULU', 'META', 'EXC', 'INTC']",0.0011785554403748544
2,"['NVDA', 'MRVL', 'TMUS', 'BKR', 'FAST', 'ZM']",0.0014716886645502792
2,"['ROST', 'REGN', 'AVGO', 'CPRT', 'CSX', 'PAYX']",0.00050304641199751
2,"['MCHP', 'COST', 'PEP', 'MELI', 'WDAY', 'AVGO']",0.00041463919514998695
2,"['MU', 'GOOGL', 'ADI', 'ASML', 'MAR', 'RIVN']",0.001369265252685444
2,"['PEP', 'CHTR', 'GOOGL', 'MELI', 'FANG', 'INTU']",0.0012624531360752999
2,"['AVGO', 'ASML', 'ROST', 'ATVI', 'VRTX', 'SGEN']",0.0007231289152459798
2,"['ZM', 'WBD', 'ADSK', 'GOOG', 'SIRI', 'TSLA']",0.0013836845450863715
2,"['AAPL', 'NVDA', 'TXN', 'CSGP', 'LCID', 'REGN']",0.0027518581076008196
2,"['ALGN', 'CPRT', 'BKR', 'WBA', 'PDD', 'EA']",0.002612511984372352
2,"['CTAS', 'CMCSA', 'NVDA', 'HON', 'KLAC', 'AMD']",0.001182024892207781
2,"['SBUX', 'AAPL', 'COST', 'CSCO', 'CSX', 'LRCX']",0.0003734504832743797
2,"['ZM', 'TEAM', 'SGEN', 'DDOG', 'LCID', 'CHTR']",0.001989760540550959
4,"['MNST', 'FTNT', 'WDAY', 'BKNG', 'ROST', 'SGEN']",0.0011229455562236218
4,"['ROST', 'EXC', 'PYPL', 'VRTX', 'AVGO', 'CDNS']",0.0069531576997597004
4,"['ATVI', 'ODFL', 'ANSS', 'INTC', 'GOOG', 'KLAC']",0.003173230155501237
4,"['ADP', 'AMGN', 'FTNT', 'META', 'GOOG', 'AMD']",0.006287572862689338
4,"['ZS', 'ISRG', 'AEP', 'SNPS', 'TXN', 'ZM']",0.005389699881507366
4,"['MSFT', 'ATVI', 'ROST', 'PEP', 'SIRI', 'SGEN']",0.0009793160400753743
4,"['NFLX', 'MRNA', 'ABNB', 'ZM', 'AEP', 'FAST']",0.0035812136977626387
4,"['AVGO', 'EA', 'LULU', 'META', 'EXC', 'INTC']",0.004520202137811869
4,"['NVDA', 'MRVL', 'TMUS', 'BKR', 'FAST', 'ZM']",0.007668897975371638
4,"['ROST', 'REGN', 'AVGO', 'CPRT', 'CSX', 'PAYX']",0.0007733175345921393
4,"['MCHP', 'COST', 'PEP', 'MELI', 'WDAY', 'AVGO']",0.0006070299938100842
4,"['MU', 'GOOGL', 'ADI', 'ASML', 'MAR', 'RIVN']",0.007462411326243252
4,"['PEP', 'CHTR', 'GOOGL', 'MELI', 'FANG', 'INTU']",0.004597146347172435
4,"['AVGO', 'ASML', 'ROST', 'ATVI', 'VRTX', 'SGEN']",0.0014821889025777616
4,"['ZM', 'WBD', 'ADSK', 'GOOG', 'SIRI', 'TSLA']",0.005192018635551417
4,"['AAPL', 'NVDA', 'TXN', 'CSGP', 'LCID', 'REGN']",0.01908492125194869
4,"['ALGN', 'CPRT', 'BKR', 'WBA', 'PDD', 'EA']",0.018573311625976047
4,"['CTAS', 'CMCSA', 'NVDA', 'HON', 'KLAC', 'AMD']",0.003913606761681486
4,"['SBUX', 'AAPL', 'COST', 'CSCO', 'CSX', 'LRCX']",0.0004955222226951547
4,"['ZM', 'TEAM', 'SGEN', 'DDOG', 'LCID', 'CHTR']",0.009773299556474534
6,"['MNST', 'FTNT', 'WDAY', 'BKNG', 'ROST', 'SGEN']",0.1282456893421224
