num_tickers,tickers,optimized_depth,optimized_gate_count,optimized_num_qubit,original_depth,original_gate_count,original_num_qubit
2,"['MNST', 'FTNT']",540587,282821,15,34602947,18088481,21
2,"['ROST', 'EXC']",69205959,36176489,22,2214592475,1157628941,27
2,"['ATVI', 'ODFL']",270247,141465,14,34602947,18088481,21
2,"['ADP', 'AMGN']",270247,141465,14,34602947,18088481,21
2,"['ZS', 'ISRG']",540587,282821,15,17301439,9044445,20
2,"['MSFT', 'ATVI']",67487,35405,12,17301439,9044445,20
2,"['NFLX', 'MRNA']",1081263,565493,16,17301439,9044445,20
2,"['AVGO', 'EA']",69205959,36176489,22,4429184991,2315256941,28
2,"['NVDA', 'MRVL']",2162611,1130793,17,34602947,18088481,21
2,"['ROST', 'REGN']",8650683,4522397,19,553648083,289407833,25
3,"['MCHP', 'COST', 'PEP']",1621271,853823,15,415235383,218628367,23
3,"['MU', 'GOOGL', 'ADI']",810259,426775,14,415235383,218628367,23
3,"['PEP', 'CHTR', 'GOOGL']",404751,213235,13,415235383,218628367,23
3,"['AVGO', 'ASML', 'ROST']",1621271,853823,15,830471483,437256539,24
3,"['ZM', 'WBD', 'ADSK']",3243291,1707883,16,103808303,54657155,21
3,"['AAPL', 'NVDA', 'TXN']",1621271,853823,15,830471483,437256539,24
3,"['ALGN', 'CPRT', 'BKR']",404751,213235,13,415235383,218628367,23
3,"['CTAS', 'CMCSA', 'NVDA']",810259,426775,14,207617331,109314247,22
3,"['SBUX', 'AAPL', 'COST']",3243291,1707883,16,830471483,437256539,24
3,"['ZM', 'TEAM', 'SGEN']",3243291,1707883,16,207617331,109314247,22
4,"['AMGN', 'ADBE', 'KLAC', 'MRNA']",810259,426775,14,415235383,218628367,23
4,"['COST', 'VRTX', 'META', 'ISRG']",810259,426775,14,415235383,218628367,23
4,"['CTSH', 'MRNA', 'NVDA', 'KHC']",810259,426775,14,415235383,218628367,23
4,"['IDXX', 'AMD', 'AEP', 'PAYX']",1621271,853823,15,1660943679,874512811,25
4,"['CHTR', 'SGEN', 'GOOG', 'ILMN']",1621271,853823,15,415235383,218628367,23
4,"['PDD', 'ADSK', 'LRCX', 'TXN']",1621271,853823,15,415235383,218628367,23
4,"['ADI', 'BKNG', 'ZM', 'LULU']",810259,426775,14,415235383,218628367,23
4,"['KDP', 'XEL', 'WBA', 'VRSK']",1621271,853823,15,1660943679,874512811,25
4,"['QCOM', 'TXN', 'PDD', 'MU']",1621271,853823,15,830471483,437256539,24
4,"['MCHP', 'ANSS', 'ORLY', 'PYPL']",810259,426775,14,830471483,437256539,24
5,"['CMCSA', 'PDD', 'LULU', 'ASML', 'META']",1621271,853823,15,415235383,218628367,23
5,"['AMD', 'ABNB', 'META', 'ANSS', 'CSX']",1621271,853823,15,830471483,437256539,24
5,"['INTU', 'ADP', 'VRSK', 'PAYX', 'MNST']",3243291,1707883,16,3321888067,1749025279,26
5,"['GILD', 'ISRG', 'GOOG', 'CTSH', 'EXC']",810259,426775,14,830471483,437256539,24
5,"['AMAT', 'ISRG', 'FAST', 'ZM', 'KDP']",1621271,853823,15,1660943679,874512811,25
5,"['ABNB', 'CSX', 'AVGO', 'RIVN', 'MELI']",3243291,1707883,16,830471483,437256539,24
5,"['BIIB', 'HON', 'JD', 'AMZN', 'SGEN']",810259,426775,14,415235383,218628367,23
5,"['MRNA', 'FANG', 'QCOM', 'ADBE', 'INTC']",810259,426775,14,830471483,437256539,24
5,"['BKNG', 'DDOG', 'CMCSA', 'INTU', 'META']",1621271,853823,15,830471483,437256539,24
5,"['EBAY', 'EA', 'FTNT', 'PAYX', 'MSFT']",1621271,853823,15,830471483,437256539,24
6,"['WBA', 'VRTX', 'SBUX', 'JD', 'KLAC', 'AVGO']",1621271,853823,15,1660943679,874512811,25
6,"['GOOGL', 'AZN', 'GOOG', 'MRVL', 'ABNB', 'META']",207617331,109314247,22,106300439895,55968793567,31
6,"['MAR', 'PEP', 'KHC', 'PCAR', 'MU', 'TMUS']",1621271,853823,15,3321888067,1749025279,26
6,"['FAST', 'MRNA', 'GILD', 'IDXX', 'ZS', 'EXC']",1621271,853823,15,830471483,437256539,24
6,"['REGN', 'ABNB', 'TMUS', 'SGEN', 'MDLZ', 'AMZN']",1621271,853823,15,830471483,437256539,24
6,"['PYPL', 'TSLA', 'ATVI', 'SNPS', 'ALGN', 'KHC']",810259,426775,14,830471483,437256539,24
6,"['ALGN', 'CTSH', 'VRSK', 'ADI', 'CMCSA', 'XEL']",1621271,853823,15,1660943679,874512811,25
6,"['CSCO', 'MAR', 'EXC', 'JD', 'ISRG', 'GILD']",810259,426775,14,830471483,437256539,24
6,"['COST', 'INTU', 'TMUS', 'ORLY', 'FTNT', 'TXN']",1621271,853823,15,830471483,437256539,24
6,"['EBAY', 'MRNA', 'AMAT', 'META', 'NXPI', 'TXN']",3243291,1707883,16,1660943679,874512811,25
